c_id,category,description,id,image,price,rating_count,rating_rate,title
638ecd6801f5b80b85d72009,men's clothing,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",1,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,109.95,120,3.9,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops"
638ecd6801f5b80b85d7200a,men's clothing,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.",2,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,22.3,259,4.1,Mens Casual Premium Slim Fit T-Shirts 
638ecd6801f5b80b85d7200b,men's clothing,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.",3,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,55.99,500,4.7,Mens Cotton Jacket
638ecd6801f5b80b85d7200c,men's clothing,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.",4,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,15.99,430,2.1,Mens Casual Slim Fit
638ecd6801f5b80b85d7200d,jewelery,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.",5,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,695,400,4.6,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet
638ecd6801f5b80b85d7200e,jewelery,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,6,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,168,70,3.9,Solid Gold Petite Micropave 
638ecd6801f5b80b85d7200f,jewelery,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...",7,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,9.99,400,3,White Gold Plated Princess
638ecd6801f5b80b85d72010,jewelery,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,8,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,10.99,100,1.9,Pierced Owl Rose Gold Plated Stainless Steel Double
638ecd6801f5b80b85d72011,electronics,"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user’s hardware configuration and operating system",9,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,64,203,3.3,WD 2TB Elements Portable External Hard Drive - USB 3.0 
638ecd6801f5b80b85d72012,electronics,"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)",10,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,109,470,2.9,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s
